CAMPBELL RIVER,,,,,Aug 1-Oct 31,No Fishing from the boundary sign at the end of Maple Street downstream to the boundary sign at the cement block
CAMPBELL RIVER,,,,,Dec 1-May 31,No Fishing in any tributaries (except Quinsam River)
CAMPBELL RIVER,,,,,,From John Hart Dam Power Station to power line crossing approximately 200 m upstream of Quinsam River confluence: fly fishing only year-round
CAMPBELL RIVER,,,,,Dec 1-May 31,Artificial fly only downstream of power line crossing approximately 200 m upstream of Quinsam River
CAMPBELL RIVER,,,,,Aug 1-Oct 31,From a fishing boundary sign at the end of Maple Street downstream to the fishing boundary sign at the cement block: No fishing for salmon Aug 1 to Oct 31
CAMPBELL RIVER,,,,,Oct 1-Dec 31,"downstream of the confluence with the Quinsam River: 4 coho salmon per day in the aggregate, only 2 of which may be greater than 35 cm and those 2 must be hatchery marked."
CAMPBELL RIVER,,,,,Jul 15-Sep 15,downstream of the confluence with the Quinsam River: 4 pink salmon per day
CAMPBELL RIVER,,,,,,downstream of the confluence with the Quinsam River to the fishing boundary sign at the end of Maple Street: Chinook TBD
CAMPBELL RIVER,,,,,,No vessels between Elk Falls and John Hart Dam Power Station
CARNATION CREEK,,TRUE,,,,No Fishing
CATHERINE CREEK,,,,,,No Fishing
CAYCUSE RIVER,,,,,July 15-Aug 31,"No Fishing, fly fishing only upstream of and including Hatton Creek"
CHEMAINUS RIVER,,,,,July 1-Sept 30,No Fishing downstream of Bannon Creek
CHEMAINUS RIVER,,,,,Oct 15-Mar 31,"Coho salmon 1 per day, none over 35 cm."
CHEMAINUS RIVER,,,,,Dec 1-Sept 30,No Fishing upstream of Bannon Creek
CHEMAINUS RIVER,,,,,,No Fishing from Copper Canyon Falls downstream 100 m to the fishing boundary signs
Cayeghle River,,,,,Apr 1-Mar 31,Coho Salmon 1 per day
CHICADEE LAKE,,,TRUE,,,Electric motors only
CLAUD ELLIOTT CREEK,,,,,,No Fishing
CLAUD ELLIOTT LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
CLEAR LAKE (Quadra Island),,,,,,Electric motors only
CLUXEWE RIVER,,TRUE,TRUE,,Dec 1-May 31,No Fishing upstream of the West Main logging road bridge (approximately 7.5 km upstream of the Hwy 19 bridge)
CLUXEWE RIVER,,,,,Apr 1-Mar 31,"Coho Salmon 2 per day, hatchery marked fish only."
Conuma River,,,,,Aug 25-Dec 31,"Chinook 2 per day, only 1 over 77 cm."
Conuma River,,,,,Aug 25-Dec 31,"Coho 2 per day, hatchery marked only"
COLQUITZ RIVER,,TRUE,,,,No Fishing
COMOX LAKE,,,,,,No wild rainbow trout over 50 cm
CONSORT CREEK,,TRUE,,,,No Fishing
COPPER CREEK,TRUE,,,,Feb 1-Apr 30,"No Fishing from Skidegate Lake to signs at second bridge 6 km upstream of tidal boundary,
Cutthroat trout release"
COPPER CREEK,,,,,Sept 1-Apr 30,Class II water
COPPER CREEK,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory
COURTENAY RIVER,,,,,Dec 1-Sept 30,"No Fishing; speed restriction on part (8 km/h),"
COURTENAY RIVER,,,,,Oct 1-Dec 31,Chum Salmon 2 per day
COURTENAY RIVER,,,,,Oct 1-Nov 30,"downstream from a fishing boundary sign located 75m downstream of the weir at the lower hatchery (excluding the Morrison Creek closure below), Chinook TBD Coho 1 per day, hatchery marked only"
COUS CREEK,,,,,Nov 1-Apr 30,No Fishing 
COWICHAN LAKE (including Bear Lake),,,,,,Cutthroat trout daily quota = 2 (none over 50 cm)
COWICHAN LAKE (including Bear Lake),,,,,Nov 15-Apr 15,Bait ban and single barbless hook
COWICHAN LAKE (including Bear Lake),,,,,,"Speed restriction on parts (8 km/h), plus overall 10 km/h speed restriction within 60 m of shore"
COWICHAN RIVER,,,,,July 15-Aug 31,"No Fishing July 15-Aug 31
"
COWICHAN RIVER,,TRUE,,,Apr 1-Mar 31,"including tributaries and Cowichan Lake, No fishing for chinook"
COWICHAN RIVER,,,,,,from 66 Mile Trestle downstream to the white triangle boundary sign located in Sandy Pool Regional Park Coho salmon TBD
COWICHAN RIVER,,,,,Sep 1-Nov 15,"No Fishing from the white triangle boundary sign located in Sandy Pool Regional Park, downstream to the tidal boundary."
COWICHAN RIVER,,,,,Nov 15-Apr 15,No Fishing from weir (dam) at Cowichan Lake’s outlet to Greendale Trestle
COWICHAN RIVER,,,,,Sept 1-Nov 15,No Fishing in tributaries upstream of and including Holt Creek Fly fishing only upstream of CNR Trestle (Mile 66)
COWICHAN RIVER,,,,,Sept 1-Nov 15,No Fishing downstream of the CNR Mile 66 Trestle. Fly fishing only from signs at Greendale Trestle to CNR Bridge (mile 70.2)
COWICHAN RIVER,,,,,,Speed restriction (8 km/h) and engine power restriction - 7.5 kW  (10 hp) on parts
COWICHAN RIVER,,,,,Sep 1-Nov 15,"downstream of the weir on Cowichan Lake to 66 Mile Trestle, Fly-Fishing Only"
CRAIGFLOWER CREEK,,TRUE,,,,No Fishing
CRANE LAKE,,,,,,"Trout release; bait ban, single barbless hook"
CRESCENT LAKE,,,,,,"Trout release; bait ban, single barbless hook"
CRUICKSHANK RIVER,,TRUE,,,,No Fishing
CUSHEON LAKE,,,TRUE,,,Electric motors only
DATLAMEN CREEK,TRUE,TRUE,,,Sept 1-Apr 30,Class II water
DATLAMEN CREEK,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory
DAVIE RIVER,,TRUE,,,Dec 1-May 31,No Fishing downstream of Schoen Lake
DEENA CREEK,TRUE,,,,Feb 1-May 31,No Fishing upstream of fishing boundary signs posted at second bridge approximately 5 km upstream of the tidal boundary
DEENA CREEK,,,,,Sept 1-Apr 30,Cutthroat trout release Class II water
DEENA CREEK,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory
DICKSON LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
DIMPLE LAKE,,,,,,"Trout release; bait ban, single barbless hook"
DIVER LAKE,,,TRUE,TRUE,,Electric motors only;     wheelchair accessible fishing platform located in Diver Lake Park
DONNER LAKE,,,,,,No powered boats
DOUGAN LAKE,,,TRUE,,,Electric motors only
DURRANCE LAKE,,,TRUE,,,Electric motors only
ECHO LAKE,,,TRUE,,,Electric motors only
ELK LAKE,,,TRUE,TRUE,,Smallmouth bass daily quota = 4
ELK LAKE,,,,,,"Engine power restriction on parts - 7.5 kW (10 hp); no vessels on parts, no powered boats on parts, no towing on parts"
ELK LAKE,,,,,,A wheelchair accessible fishing pier is located on the lake’s northwest shore via Brookleigh Road
ELK RIVER (Also see Buttle Lake),,,,,,Fly fishing only
ENGLISHMAN RIVER,,,,,July 15-Aug 31,No Fishing
ENGLISHMAN RIVER,,,,,,No Fishing from lower falls in Englishman River Park to signs approximately 100 m downstream
ENGLISHMAN RIVER,,,,,Dec 1-May 31,No Fishing downstream of the lower falls in Englishman River Falls Provincial Park to the Top Bridge crossing at the end of Allsbrook Road
ESARY LAKE,,,,,,"Trout release; bait ban, single barbless hook"
EVE RIVER,,TRUE,,,Dec 1-May 31,No Fishing upstream of the fishing boundary signs (near the South Main Bridge crossing) located approximately 5.4 km downstream of the Hwy 19 bridge
FAIRY LAKE,,,,,,"Trout daily quota = 1 (none over 50 cm); bait ban, single barbless hook; engine power restriction - 7.5 kW (10 hp)"
FAREWELL LAKE,,,,,,"Trout daily quota = 1 (none over 50 cm); artificial fly only, bait ban, single barbless hook"
FICKLE LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
FLORA LAKE,,,,,,"Trout release; bait ban, single barbless hook"
FORBUSH LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
FRENCH CREEK,,,,,Dec 1-May 31,No Fishing
FRENCH CREEK,,,,,July 15-Aug 31,No Fishing
FULLER LAKE,,,TRUE,TRUE,,Smallmouth bass daily quota = 4; electric motors only;     wheelchair accessible fishing platform is located in Fuller Lake Park
GLEN LAKE,,,TRUE,,,Electric motors only; fishing platform is located in Glen Lake Park
GOLD LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
GOLD RIVER,,,,,,"No Fishing upstream of the Muchalat River
"
GOLD RIVER,,,,,Dec 1-May 31,"No Fishing downstream of the Muchalat River, but not including the Muchalat or Heber Rivers"
GOLD RIVER,,,,,,"No Fishing between the cascade falls (located approximately 6.5 km upstream of Muchalat Inlet, UTM 709137E, 5512420N) and fishing boundary signs approximately 80 m downstream"
GOLD RIVER,,,,,,No powered boats
GOLDSTREAM RIVER,,TRUE,,,,No Fishing
GOLDSTREAM RIVER,,,,,Apr 1-Mar 31,No Fishing for Salmon
GORDON RIVER ,,TRUE,,,July 15-Aug 31,No Fishing 
GORDON RIVER ,,,,,Nov 1-Apr 30,No Fishing upstream of Bugaboo Creek;  artificial fly only upstream of Bugaboo Creek when open
GRACIE LAKE,,,TRUE,,,Electric motors only
GRAHAM LAKE,,,,,,Electric motors only
GREEN LAKE,,,TRUE,,,Electric motors only
GREENSTONE CREEK,,TRUE,,,,No Fishing
GUNFLINT LAKE,,,,,,"Trout release; bait ban, single barbless hook; electric motors only"
HAGUE LAKE,,,,,,Electric motors only
HARRIS CREEK,,TRUE,,,July 15-Aug 31,No Fishing
HARRIS CREEK,,,,,,No Fishing upstream of and including Hemmingsen Creek
HAREWOOD (Extension) LAKE,,,,,,Trout daily quota = 2
HASLAM CREEK,,,,,,No Fishing
HAWARTH LAKE,,,,,,No Fishing
HEALY (Panther) LAKE,,,,,,"Trout release; fly fishing only, bait ban, single barbless hook"
HEALY LAKE’S OUTLET STREAM,,,,,,No Fishing
HEBER RIVER,,,,,,"No Fishing downstream of top of the lower canyon, located approximately 1.3 km upstream of the Gold River confluence"
HEBER RIVER,,,,,Nov 1-Apr 30,No Fishing upstream of top of the lower canyon
HEBER RIVER,,,,,May 1-Oct 31,Fly fishing only downstream of Saunders Creek to the top of the lower canyon
HEMMINGSEN CREEK,,TRUE,,,,No Fishing
HENRY LAKE,,,,,,"Trout release; artificial fly only, bait ban, single barbless hook"
HIGGENS LAKE,,,,,,"Trout release; bait ban, single barbless hook"
HOLLAND LAKE,,,,,,No powered boats
IDA LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
ILLUSION LAKES,,,,,,No powered boats
JASPER LAKE,,,,,,"Trout release; bait ban, single barbless hook"
JOHN HART LAKE’S TRIBUTARIES,,,,,Apr 15-July 15,No Fishing (includes channel downstream of Ladore Dam)
JUNE LAKE,,,,,,Trout daily quota = 2
KAKWEIKEN LAKE,,,,,,"Trout release; bait ban, single barbless hook"
KAKWEIKEN RIVER,,TRUE,,,Apr 1-Oct 31,Class II water
KAKWEIKEN RIVER,,,,,Apr 1-June 30,Steelhead Stamp mandatory
GREAT CENTRAL LAKE,,,,,Jan 1-Apr 30,"No Fishing, from the dam to fishing boundary signs approximately 50 m upstream (southwest) of the Ash Main Bridge"
GREAT CENTRAL LAKE,,,,,,"Single barbless hook, no wild rainbow trout over 50 cm"
HONNA RIVER,,TRUE,,,,Cutthroat trout release
HONNA RIVER,,,,,Sept 1-Apr 30,Class II water
HONNA RIVER,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory
KEMP LAKE,,,TRUE,,,No powered boats
KEOGH RIVER,,,,,," No Fishing downstream of lower fish counting fence near tidewater
"
KEOGH RIVER,,,,,Dec 1-May 31,No Fishing in all parts
KINGCOME RIVER ,TRUE,TRUE,,,Apr 1-Oct 31,Class II water
KINGCOME RIVER ,,,,,Apr 1-June 30,Steelhead Stamp mandatory 
KOKISH RIVER,,,,,Nov 1-Apr 30,No Fishing from boundary signs in Kokish canyon to Ida Lake
KOKISH RIVER,,,,,,No Fishing from the log boom located approximately 100 m upstream of the IPP intake to signs at the tail of the canyon pool located approximately 250 m downstream
KOKISH RIVER,,,,,,No Fishing between signs at the IPP tail race confluence downstream approximately 500 m to signs
KOKSILAH RIVER ,,TRUE,,,Dec 1-May 31,No Fishing
KOKSILAH RIVER ,,,,,July 1-Sept 30,No Fishing
KOKSILAH RIVER ,,,,,,Chinook TBD
KOKSILAH RIVER ,,,,,Apr 1-Mar 31,"Coho Salmon 1 per day, maximum size 35 cm"
LAKE WESTON (“Weston Lake”),,,,,,"Trout daily quota = 1 (none over 50 cm); bait ban, single barbless hook; electric motors only"
LANGFORD LAKE,,,TRUE,,,Smallmouth bass daily quota = 4
LANGFORD LAKE,,,,,,Electric motors only; fishing platforms are available off Leigh Road and the Nixon Trail
“LINK” RIVER,,,,,,See Marble River
LITTLE MAIN LAKE (Quadra Island),,,,,Nov 1-Apr 30,Bait ban and single barbless hook
LITTLE MAIN LAKE (Quadra Island),,,,,,electric motors only
LITTLE QUALICUM RIVER ,,,,,July 15-Aug 31,No Fishing
LITTLE QUALICUM RIVER ,,,,,, No Fishing - All tributaries
LITTLE QUALICUM RIVER ,,,,,Dec 1-May 31,No Fishing from the falls in Little Qualicum Falls Provincial Park downstream to the hatchery fence
LITTLE QUALICUM RIVER ,,,,,,The standard 100 m closure around a fish rearing facility has been reduced to a no fishing area from the hatchery fence to signs approximately 35 m downstream
LITTLE QUALICUM RIVER ,,,,,Sept 1-Nov 30,Fly fishing only (where open)
LITTLE QUALICUM RIVER ,,,,,Sept 1-Nov 30,All Salmon species Fly FIshing Only
LITTLE QUALICUM RIVER ,,,,,Apr 1-Mar 31,No Fishing from the hatchery fence to signs located approximately 35 meters downstream 
LITTLE QUALICUM RIVER ,,,,,Dec 1 to May 31,No fishing from the falls in Little Qualicum Falls Provincial Park downstream to the hatchery fence
LIZARD LAKE,,,TRUE,,,"Trout daily quota = 2; bait ban, single barbless hook; electric motors only"
LIZARD POND,,,,,,"Trout daily quota = 1; artificial fly only, bait ban, single barbless hook"
LOIS LAKE,,,TRUE,,,"Trout daily quota = 1; artificial fly only, bait ban, single barbless hook"
LONG LAKE (Nanaimo),,,TRUE,TRUE,,Speed restriction on parts (60 km/h);     wheelchair accessible fishing platform is located in Loudon Park
LOON LAKE,,,TRUE,,,Electric motors only
MACKTUSH CREEK,,,,,,No Fishing
MAGGIE LAKE,,,,,,"No wild rainbow trout over 50 cm; bait ban, single barbless hook"
MAHATTA RIVER,,,,,Nov 1-Apr 30,No Fishing
MAIN LAKE (Quadra Island),,,,,Nov 1-Apr 30,Bait ban and single barbless hook
MAIN LAKE (Quadra Island),,,,,,Engine power restriction - 7.5 kW (10 hp)
MAMIN RIVER,TRUE,TRUE,,,Sept 1-Apr 30,Class II water
MAMIN RIVER,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory
MAMIN RIVER,,,,,Feb 1-Apr 30,No Fishing upstream of fishing boundary signs posted on third bridge approximately 10 km upstream of the tidal boundary
MAPLE LAKE,,,TRUE,,,Electric motors only
"MARBLE (“Link”) RIVER (only between
Victoria and Alice lakes)",,,,,,Fly fishing only ■
MARTHA LAKE,,,TRUE,,,"Trout release; bait ban, single barbless hook"
MATHESON LAKE ,,,TRUE,,,Electric motors only
“MAXWELL LAKE” (Lake Maxwell),,,,,,Electric motors only
MAYO LAKE,,,TRUE,,,Youth/Disabled Accompanied Water 
MCKENZIE LAKE,,,,,,No powered boats
MCNAIR LAKE,,,,,,"Trout release; bait ban, single barbless hook"
MEGIN LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
MICHAEL LAKE ,,,,,,  No powered boats
MILLER CREEK,,TRUE,,,,No Fishing
MINE LAKE,,,,,,Engine power restriction - 7.5 kW (10 hp)
MOHUN CREEK     ,,TRUE,,,Dec 1-May 31,No Fishing
MOHUN CREEK     ,,,,,,No Fishing from Menzies Bay logging mainline bridge crossing to Morton Lake.
MISTY LAKE,,,,,,No Fishing (located in an Ecological Reserve)
MORTE LAKE,,,,,,Electric motors only
MUCHALAT RIVER,,TRUE,,,Dec 1-May 15,No Fishing
MUCHALAT RIVER,,,,,,No wild rainbow trout over 50 cm
MYRA LAKE,,,,,,No Fishing
NAHMINT LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook; engine power restriction 7.5 kW (10 hp)"
NAHMINT RIVER,,,,,Nov 1-Apr 30,No Fishing Nahmint River (upstream and downstream of the lake)
NAHMINT RIVER,,,,,,fly fishing only upstream of Nahmint Lake when open
NAHMINT RIVER,,,,,July 15-Aug 31,No Fishing
NAHMINT RIVER,,,,,,No Fishing from power line crossing at “Bore Hole” upstream to fishing boundary signs at the mouth of Boulder Creek
Nahwitti River,,,,,Apr 1-Mar 31,Coho one per day
NANAIMO RIVER,,,,,Sept 15-Oct 30,No Fishing from the Cedar Road Bridge upstream approximately 400 m to the white square boundary signs near the Hwy 19 bridge
NANAIMO RIVER,,,,,Dec 1-May 31,No Fishing upstream of the Hwy 1 bridge■
NANAIMO RIVER,,,,,,"Artificial fly only upstream of the westernmost of the two Nanaimo Lakes, known locally as “Second” Lake, including tributaries"
NANAIMO RIVER,,,,,,Engine power restriction on parts - 7.5 kW (10 hp)
NANAIMO RIVER,,,,,Oct 15-Mar 31,"including tributaries, except in the area described below. 1 Coho per day, maximum size 35 cm"
NANAIMO RIVER,,,,,Jan 1-Dec 31,"No fishing Salmon from the power line crossing at ""Bore Hole"" upstream to the fishing boundary signs at the mouth of Boulder Creek"
NANAIMO RIVER,,,,,Sep 15-Oct 30,No fishing salmon Cedar Road Bridge upstream approx. 400 m to the fishing boundary sign located near the Hwy 19 bridge crossing
NANAIMO RIVER,,,,,Nov 1-Dec 31,"Coho 2 per day, hatchery marked only, Chum 2 per day from the upstream side of the Cedar Road Bridge, upstream to the downstream side of the Highway 1 overpass."
NIMPKISH RIVER,,TRUE,,,Dec 1-May 15,No Fishing upstream of Davie River
NITINAT LAKE,,,,,,Note: Nitinat Lake is tidal water; tidal regulations apply and a (federal) Tidal Waters Sport Fishing Licence is required
NITINAT RIVER,,TRUE,,,,Exempt from July 15-Aug 31 summer closure
NITINAT RIVER,,,,,,No Fishing upstream of Parker Creek
NITINAT RIVER,,,,,Aug 25-Dec 31,"No Fishing between fishing boundary signs approximately 100 m upstream of and downstream of “Red Rock Pool,” approximately 2 km (by road) south of the Nitinat River Bridge"
NITINAT RIVER,,,,,Aug 25-Oct 15,No Fishing between boundary signs approximately 50 m upstream of and downstream of the Nitinat River Bridge
NITINAT RIVER,,,,,Apr 1-Mar 31,No fishing for salmon upstream of Parker Creek
NITINAT RIVER,,,,,Aug 25-Sep 30,"Chinook 2 per day, only 1 over 77 cm downstream of Parker Creek, except for areas with finfish closure"
NITINAT RIVER,,,,,Oct 16-Dec 31,"Coho 2 per day downstream of Parker Creek, except for areas with finfish closure"
NITINAT RIVER,,,,,Oct 16-Dec 31,"Chum 2 per day downstream of Parker Creek, except for areas with finfish closure"
NITINAT RIVER,,,,,Aug 25-Oct 15,Finfish closure at Nitinat River from 50m upstream to 50m downstream of the Nitinat River bridge.
NITINAT RIVER,,,,,Apr 1-Mar 31,"Finfish closure from the powerline crossing upstream of the Nitinat River Hatchery water intake, downstream to the lowest point of confluence with the Little Nitinat River and then perpendicular to the flow of the Nitinat River, to the opposite shore"
NITINAT RIVER,,,,,Aug 25-Dec 31,Finfish closure between fishing boundary signs located approximately 100m above and below Red Rock Pool.
NOLA LAKE,,,,,,No Fishing
OYSTER RIVER,,,TRUE,,Dec 1-June 30,No Fishing upstream of the confluence with Little Oyster River■
OYSTER RIVER,,,,,,Exempt from July 15-Aug 31 summer closure. 
O’CONNELL LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
PALLANT CREEK ,TRUE,TRUE,,,Sept 1-Apr 30,Class II water
PALLANT CREEK ,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory
PANTHER LAKE,,,,,,See Healy Lake
PERRY LAKE,,,,,,"Trout daily quota = 1 (none over 50 cm); bait ban, single barbless hook"
"“PETE’S POND” Unnamed lake at the
head of San Juan River",,,,,,"Trout release; artificial fly only, bait ban, single barbless hook"
PRIOR LAKE,,,TRUE,,,No powered boats
PROSPECT LAKE ,,,TRUE,,,Smallmouth bass daily quota = 4; speed restriction on parts (8 and 60 km/h)
PROVOST DAM,,,,,,No powered boats
PUNTLEDGE RIVER,,,,,,Exempt from July 15-Aug 31 summer closure
PUNTLEDGE RIVER,,,,,,"Fly fishing only upstream of the BC Hydro diversion dam (approximately 3.5 km downstream of Comox Lake), including tributaries"
PUNTLEDGE RIVER,,,,,,No Fishing tributaries
PUNTLEDGE RIVER,,,,,,No Fishing from fishing boundary signs located 50 m upstream of the BC Hydro generating station tailrace to signs located 75 m downstream of the Puntledge River hatchery fence (total distance approximately 500 m)
PUNTLEDGE RIVER,,,,,,No Fishing between fishing boundary signs approximately 100 m upstream and downstream of the confluence with Morrison Creek
PUNTLEDGE RIVER,,,,,,No Fishing downstream of the BC Hydro diversion dam (approximately 3.5 km downstream of Comox Lake) to the base of Stotan Falls (approximately 450 m downstream of the Duncan Bay Mainline logging road bridge)
PUNTLEDGE RIVER,,,,,Apr 1 to Mar 31,No fishing for salmon from the weir at the lower hatchery to fishing boundary signs approximately 75m downstream of the weir.
PUNTLEDGE RIVER,,,,,Oct 1 to Nov 30,"Coho Salmon 1 per day, hatchery marked only downstream from a fishing boundary sign located 75m downstream of the weir at the lower hatchery (excluding the Morrison Creek closure below)."
PUNTLEDGE RIVER,,,,,Oct 1 to Dec 31,Chum 2 per day downstream from a fishing boundary sign located 75m downstream of the weir at the lower hatchery (excluding the Morrison Creek closure below).
PUNTLEDGE RIVER,,,,,Apr 1 to Mar 31,Finfish closure at Morrison Creek closure: between fishing boundary signs located 100m upstream and downstream of the confluence with Morrison Creek.
QUALICUM RIVER,,,,,,No Fishing downstream of boundary signs located approximately 100 m downstream of the hatchery counting fence
QUALICUM RIVER,,,,,Aug 15-Oct 15,No Fishing from the upper hatchery weir (located 125 m downstream of the E&N Trestle) to boundary sign: located approximately 100 m downstream of the hatchery counting fence
QUALICUM RIVER,,,,,,No Fishing tributaries
QUALICUM RIVER,,,,,,"Single barbless hook, no hooks greater than 15 mm from point to shank"
QUALICUM RIVER,,,,TRUE,,Exempt from July 15-Aug 31 summer closure
QUALICUM RIVER,,,,,,wheelchair accessible fishing platform is located at the hatchery
QUALICUM RIVER,,,,,Sept 30 to Dec 31,Coho 2 per day at those waters upstream of the Big Qualicum Hatchery upper weir (located approximately 125 m downstream of the E&N railway bridge).
QUALICUM RIVER,,,,,Aug 15 to Oct 15,Pink Salmon 4 per day at those waters upstream of the Big Qualicum Hatchery upper weir (located approximately 125 m downstream of the E&N railway bridge).
QUALICUM RIVER,,,,,Aug 15 to Oct 15,No fishing for salmon downstream of the upper weir (located approximately 125 m downstream of the E&N railway bridge) to the QFN boundary fence located approximately 100 m downstream of the hatchery counting fence
QUALICUM RIVER,,,,,Apr 1 to Mar 31,No fishing for salmon from the Reserve boundary below the Big Qualicum hatchery downstream to the Hwy 19A bridge
QUALICUM RIVER,,,,,,
QUATSE RIVER,,TRUE,TRUE,,May 1-June 15,No Fishing
QUATSE RIVER,,,,,,Hatchery steelhead daily quota = 1
QUATSE RIVER,,,,,Dec 1-June 15,No Fishing upstream of the Quatse River fishway (approximately 1.4 km upstream of Dick Booth Creek)
QUATSE RIVER,,,,,May 1-Nov 30,Bait ban
QUATSE RIVER,,,,,Jun 15 to Mar 31,"Coho 2 per day, hatchery marked fish only."
QUATSE RIVER,,,,,Apr 1 to Mar 31,No fishing 100m upstream and downstream of the Quatse River Hatchery weir
QUENNELL LAKE,,,TRUE,,,Smallmouth bass daily quota = 4; speed restriction on parts (8 km/h)
QUINSAM RIVER,,TRUE,,TRUE,,"No Fishing from the fishing boundary signs at power line crossing (approximately 25 m upstream of Quinsam Hatchery weir) to fishing boundary signs approximately 300 m downstream of weir
"
QUINSAM RIVER,,,,,Dec 1-June 30,No Fishing from the falls situated downstream of Middle Quinsam Lake to the fishing boundary signs at power line crossing (approximately 25 m upstream of the Quinsam hatchery weir)
QUINSAM RIVER,,,,,,Exempt from July 15-Aug 31 summer closure
QUINSAM RIVER,,,,,,wheelchair accessible fishing platform is located near the Hwy 28 Bridge
QUINSAM RIVER,,,,,Oct 1-Dec 31,"4 coho per day in the aggregate, only two of which may be greater than 35 cm and those two must be hatchery marked."
QUINSAM RIVER,,,,,July 24-Sep 15,4 Pink salmon per day
REAY CREEK,,,,,Apr 1-Mar 31,No fishing for salmon
REGAN LAKE,,,,,,"Trout release; bait ban, single barbless hook"
REGINALD LAKE,,,TRUE,,,"Trout release; bait ban, single barbless hook"
ROBERTS LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook"
ROGERS CREEK,,,,,Dec 1-Apr 30,No Fishing
ROSELLE LAKE,,,,,,Trout daily quota = 2
ROSEN LAKE (Read Island),,,,,,No powered boats
ROWBOTHAM LAKE,,,,,,"Trout release; artificial fly only, bait ban, single barbless hook"
ST. MARY LAKE,,,TRUE,,,Electric motors only
SAN JUAN RIVER,,TRUE,,,,No Fishing upstream of Fleet River
SAN JUAN RIVER,,,,,July 15-Aug 31,No Fishing
SAN JUAN RIVER,,,,,,Coho Opportunities dependent on in-season coho run size (coho over 35 cm) at the waters of the San Juan River and its tributaries downstream of the Fleet River that are open to fishing for salmon
SEYMOUR RIVER,,,,,Aug 15-Oct 31,Class II water
