CAMPBELL RIVER,,,,,Dec 1-May 31,Artificial fly only downstream of power line crossing approximately 200 m upstream of Quinsam River,"(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,Aug 1-Oct 31,From a fishing boundary sign at the end of Maple Street downstream to the fishing boundary sign at the cement block: No fishing for salmon Aug 1 to Oct 31,"(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,Oct 1-Dec 31,"downstream of the confluence with the Quinsam River: 4 coho salmon per day in the aggregate, only 2 of which may be greater than 35 cm and those 2 must be hatchery marked.","(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,Jul 15-Sep 15,downstream of the confluence with the Quinsam River: 4 pink salmon per day,"(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,,downstream of the confluence with the Quinsam River to the fishing boundary sign at the end of Maple Street: Chinook TBD,"(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,,No vessels between Elk Falls and John Hart Dam Power Station,"(50.037277, -125.285451)"
CARNATION CREEK,,TRUE,,,,No Fishing,"(48.9141, -125.0029)"
CATHERINE CREEK,,,,,,No Fishing,"(50.433102, -126.587088)"
CAYCUSE RIVER,,,,,July 15-Aug 31,"No Fishing, fly fishing only upstream of and including Hatton Creek","(48.799038, -124.677597)"
CHEMAINUS RIVER,,,,,July 1-Sept 30,No Fishing downstream of Bannon Creek,"(48.841478, -123.829062)"
CHEMAINUS RIVER,,,,,Oct 15-Mar 31,"Coho salmon 1 per day, none over 35 cm.","(48.841478, -123.829062)"
CHEMAINUS RIVER,,,,,Dec 1-Sept 30,No Fishing upstream of Bannon Creek,"(48.841478, -123.829062)"
CHEMAINUS RIVER,,,,,,No Fishing from Copper Canyon Falls downstream 100 m to the fishing boundary signs,"(48.841478, -123.829062)"
Cayeghle River,,,,,Apr 1-Mar 31,Coho Salmon 1 per day,"(50.324580, -127.428170)"
CHICADEE LAKE,,,TRUE,,,Electric motors only,"(49.351377, -122.827913)"
CLAUD ELLIOTT CREEK,,,,,,No Fishing,"(50.323404, -126.570024)"
CLAUD ELLIOTT LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook","(50.305719, -126.553391)"
CLEAR LAKE (Quadra Island),,,,,,Electric motors only,"(50.226080, -125.247701)"
CLUXEWE RIVER,,TRUE,TRUE,,Dec 1-May 31,No Fishing upstream of the West Main logging road bridge (approximately 7.5 km upstream of the Hwy 19 bridge),"(50.611158, -127.176810)"
CLUXEWE RIVER,,,,,Apr 1-Mar 31,"Coho Salmon 2 per day, hatchery marked fish only.","(50.611158, -127.176810)"
Conuma River,,,,,Aug 25-Dec 31,"Chinook 2 per day, only 1 over 77 cm.","(49.7935, -126.4409)"
Conuma River,,,,,Aug 25-Dec 31,"Coho 2 per day, hatchery marked only","(49.7935, -126.4409)"
COLQUITZ RIVER,,TRUE,,,,No Fishing,"(48.459444, -123.411111)"
COMOX LAKE,,,,,,No wild rainbow trout over 50 cm,"(49.6188, -125.1658)"
CONSORT CREEK,,TRUE,,,,No Fishing,"(50.097905, -126.051679)"
COPPER CREEK,TRUE,,,,Feb 1-Apr 30,"No Fishing from Skidegate Lake to signs at second bridge 6 km upstream of tidal boundary,
Cutthroat trout release","(50.790354, -120.767323)"
COPPER CREEK,,,,,Sept 1-Apr 30,Class II water,"(50.790354, -120.767323)"
COPPER CREEK,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory,"(50.790354, -120.767323)"
COURTENAY RIVER,,,,,Dec 1-Sept 30,"No Fishing; speed restriction on part (8 km/h),","(49.681109, -124.979018)"
COURTENAY RIVER,,,,,Oct 1-Dec 31,Chum Salmon 2 per day,"(49.681109, -124.979018)"
COURTENAY RIVER,,,,,Oct 1-Nov 30,"downstream from a fishing boundary sign located 75m downstream of the weir at the lower hatchery (excluding the Morrison Creek closure below), Chinook TBD Coho 1 per day, hatchery marked only","(49.681109, -124.979018)"
COUS CREEK,,,,,Nov 1-Apr 30,No Fishing ,"(49.1850, -124.8318)"
COWICHAN LAKE (including Bear Lake),,,,,,Cutthroat trout daily quota = 2 (none over 50 cm),"(48.879747, -124.297081)"
COWICHAN LAKE (including Bear Lake),,,,,Nov 15-Apr 15,Bait ban and single barbless hook,"(48.879747, -124.297081)"
COWICHAN LAKE (including Bear Lake),,,,,,"Speed restriction on parts (8 km/h), plus overall 10 km/h speed restriction within 60 m of shore","(48.879747, -124.297081)"
COWICHAN RIVER,,,,,July 15-Aug 31,"No Fishing July 15-Aug 31
","(48.825252, -124.049461)"
COWICHAN RIVER,,TRUE,,,Apr 1-Mar 31,"including tributaries and Cowichan Lake, No fishing for chinook","(48.825252, -124.049461)"
COWICHAN RIVER,,,,,,from 66 Mile Trestle downstream to the white triangle boundary sign located in Sandy Pool Regional Park Coho salmon TBD,"(48.825252, -124.049461)"
COWICHAN RIVER,,,,,Sep 1-Nov 15,"No Fishing from the white triangle boundary sign located in Sandy Pool Regional Park, downstream to the tidal boundary.","(48.825252, -124.049461)"
COWICHAN RIVER,,,,,Nov 15-Apr 15,No Fishing from weir (dam) at Cowichan Lake’s outlet to Greendale Trestle,"(48.825252, -124.049461)"
COWICHAN RIVER,,,,,Sept 1-Nov 15,No Fishing in tributaries upstream of and including Holt Creek Fly fishing only upstream of CNR Trestle (Mile 66),"(48.825252, -124.049461)"
COWICHAN RIVER,,,,,Sept 1-Nov 15,No Fishing downstream of the CNR Mile 66 Trestle. Fly fishing only from signs at Greendale Trestle to CNR Bridge (mile 70.2),"(48.825252, -124.049461)"
COWICHAN RIVER,,,,,,Speed restriction (8 km/h) and engine power restriction - 7.5 kW  (10 hp) on parts,"(48.825252, -124.049461)"
COWICHAN RIVER,,,,,Sep 1-Nov 15,"downstream of the weir on Cowichan Lake to 66 Mile Trestle, Fly-Fishing Only","(48.825252, -124.049461)"
CRAIGFLOWER CREEK,,TRUE,,,,No Fishing,"(48.472971, -123.458244)"
CRANE LAKE,,,,,,"Trout release; bait ban, single barbless hook","(50.141978, -125.464953)"
CRESCENT LAKE,,,,,,"Trout release; bait ban, single barbless hook","(50.120245, -125.524657)"
CRUICKSHANK RIVER,,TRUE,,,,No Fishing,"(49.580055, -125.192346)"
CUSHEON LAKE,,,TRUE,,,Electric motors only,"(48.815878, -123.469519)"
DATLAMEN CREEK,TRUE,TRUE,,,Sept 1-Apr 30,Class II water,"(53.567243, -132.488263)"
DATLAMEN CREEK,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory,"(53.567243, -132.488263)"
DAVIE RIVER,,TRUE,,,Dec 1-May 31,No Fishing downstream of Schoen Lake,"(50.198678, -126.572401)"
DEENA CREEK,TRUE,,,,Feb 1-May 31,No Fishing upstream of fishing boundary signs posted at second bridge approximately 5 km upstream of the tidal boundary,"(53.143889, -132.134444)"
DEENA CREEK,,,,,Sept 1-Apr 30,Cutthroat trout release Class II water,"(53.143889, -132.134444)"
DEENA CREEK,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory,"(53.143889, -132.134444)"
DICKSON LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook","(49.3975, -125.085833)"
DIMPLE LAKE,,,,,,"Trout release; bait ban, single barbless hook","(48.683333, -124.125556)"
DIVER LAKE,,,TRUE,TRUE,,Electric motors only;     wheelchair accessible fishing platform located in Diver Lake Park,"(49.203889, -124.013611)"
DONNER LAKE,,,,,,No powered boats,"(49.719722, -125.901667)"
DOUGAN LAKE,,,TRUE,,,Electric motors only,"(48.715, -123.613333)"
DURRANCE LAKE,,,TRUE,,,Electric motors only,"(48.548056, -123.477778)"
ECHO LAKE,,,TRUE,,,Electric motors only,"(49.986667, -125.410278)"
ELK LAKE,,,TRUE,TRUE,,Smallmouth bass daily quota = 4,"(48.529175, -123.395302)"
ELK LAKE,,,,,,"Engine power restriction on parts - 7.5 kW (10 hp); no vessels on parts, no powered boats on parts, no towing on parts","(48.529175, -123.395302)"
ELK LAKE,,,,,,A wheelchair accessible fishing pier is located on the lake’s northwest shore via Brookleigh Road,"(48.529175, -123.395302)"
ELK RIVER (Also see Buttle Lake),,,,,,Fly fishing only,"(49.873889, -125.743611)"
ENGLISHMAN RIVER,,,,,July 15-Aug 31,No Fishing,"(49.325278, -124.291389)"
ENGLISHMAN RIVER,,,,,,No Fishing from lower falls in Englishman River Park to signs approximately 100 m downstream,"(49.325278, -124.291389)"
ENGLISHMAN RIVER,,,,,Dec 1-May 31,No Fishing downstream of the lower falls in Englishman River Falls Provincial Park to the Top Bridge crossing at the end of Allsbrook Road,"(49.325278, -124.291389)"
ESARY LAKE,,,,,,"Trout release; bait ban, single barbless hook","(49.322222, -124.776111)"
EVE RIVER,,TRUE,,,Dec 1-May 31,No Fishing upstream of the fishing boundary signs (near the South Main Bridge crossing) located approximately 5.4 km downstream of the Hwy 19 bridge,"(50.437778, -126.246667)"
FAIRY LAKE,,,,,,"Trout daily quota = 1 (none over 50 cm); bait ban, single barbless hook; engine power restriction - 7.5 kW (10 hp)","(48.585, -124.346111)"
FAREWELL LAKE,,,,,,"Trout daily quota = 1 (none over 50 cm); artificial fly only, bait ban, single barbless hook","(50.200181, -125.591376)"
FICKLE LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook","(50.329722, -126.544722)"
FLORA LAKE,,,,,,"Trout release; bait ban, single barbless hook","(49.113868, -121.415412)"
FORBUSH LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook","(49.509444, -125.229167)"
FRENCH CREEK,,,,,Dec 1-May 31,No Fishing,"(49.35, -124.35)"
FRENCH CREEK,,,,,July 15-Aug 31,No Fishing,"(49.35, -124.35)"
FULLER LAKE,,,TRUE,TRUE,,Smallmouth bass daily quota = 4; electric motors only;     wheelchair accessible fishing platform is located in Fuller Lake Park,"(48.908611, -123.720833)"
GLEN LAKE,,,TRUE,,,Electric motors only; fishing platform is located in Glen Lake Park,"(48.433333, -123.51667)"
GOLD LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook","(49.980833, -125.990278)"
GOLD RIVER,,,,,,"No Fishing upstream of the Muchalat River
","(49.681111, -126.1125)"
GOLD RIVER,,,,,Dec 1-May 31,"No Fishing downstream of the Muchalat River, but not including the Muchalat or Heber Rivers","(49.681111, -126.1125)"
GOLD RIVER,,,,,,"No Fishing between the cascade falls (located approximately 6.5 km upstream of Muchalat Inlet, UTM 709137E, 5512420N) and fishing boundary signs approximately 80 m downstream","(49.681111, -126.1125)"
GOLD RIVER,,,,,,No powered boats,"(49.681111, -126.1125)"
GOLDSTREAM RIVER,,TRUE,,,,No Fishing,"(51.651667, -118.622222)"
GOLDSTREAM RIVER,,,,,Apr 1-Mar 31,No Fishing for Salmon,"(51.651667, -118.622222)"
GORDON RIVER ,,TRUE,,,July 15-Aug 31,No Fishing ,"(48.576111, -124.414444)"
GORDON RIVER ,,,,,Nov 1-Apr 30,No Fishing upstream of Bugaboo Creek;  artificial fly only upstream of Bugaboo Creek when open,"(48.576111, -124.414444)"
GRACIE LAKE,,,TRUE,,,Electric motors only,"(49.212778, -125.085556)"
GRAHAM LAKE,,,,,,Electric motors only,"(49.511389, -124.7575)"
GREEN LAKE,,,TRUE,,,Electric motors only,"(51.416667, -121.209722)"
GREENSTONE CREEK,,TRUE,,,,No Fishing,"(50.017222, -125.571667)"
GUNFLINT LAKE,,,,,,"Trout release; bait ban, single barbless hook; electric motors only","(50.071111, -124.954444)"
HAGUE LAKE,,,,,,Electric motors only,"(50.061667, -124.968611)"
HARRIS CREEK,,TRUE,,,July 15-Aug 31,No Fishing,"(48.582222, -124.275556)"
HARRIS CREEK,,,,,,No Fishing upstream of and including Hemmingsen Creek,"(48.582222, -124.275556)"
HAREWOOD (Extension) LAKE,,,,,,Trout daily quota = 2,"(49.094444, -123.943056)"
HASLAM CREEK,,,,,,No Fishing,"(49.08, -123.8625)"
HAWARTH LAKE,,,,,,No Fishing,"(49.927778, -125.753333)"
HEALY (Panther) LAKE,,,,,,"Trout release; fly fishing only, bait ban, single barbless hook","(49.139722, -124.319167)"
HEALY LAKE’S OUTLET STREAM,,,,,,No Fishing,"(49.139722, -124.319167)"
HEBER RIVER,,,,,,"No Fishing downstream of top of the lower canyon, located approximately 1.3 km upstream of the Gold River confluence","(49.773889, -126.051667)"
HEBER RIVER,,,,,Nov 1-Apr 30,No Fishing upstream of top of the lower canyon,"(49.773889, -126.051667)"
HEBER RIVER,,,,,May 1-Oct 31,Fly fishing only downstream of Saunders Creek to the top of the lower canyon,"(49.773889, -126.051667)"
HEMMINGSEN CREEK,,TRUE,,,,No Fishing,"(48.631389, -124.254167)"
HENRY LAKE,,,,,,"Trout release; artificial fly only, bait ban, single barbless hook","(53.771389, -123.249167)"
HIGGENS LAKE,,,,,,"Trout release; bait ban, single barbless hook","(50.075, -125.509722)"
HOLLAND LAKE,,,,,,No powered boats,"(48.948056, -123.865278)"
IDA LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook","(50.451389, -126.813056)"
ILLUSION LAKES,,,,,,No powered boats,"(49.3525, -124.637778)"
JASPER LAKE,,,,,,"Trout release; bait ban, single barbless hook","(50.171944, -125.405)"
JOHN HART LAKE’S TRIBUTARIES,,,,,Apr 15-July 15,No Fishing (includes channel downstream of Ladore Dam),"(50.046389, -125.372778)"
JUNE LAKE,,,,,,Trout daily quota = 2,"(49.475833, -125.261944)"
KAKWEIKEN LAKE,,,,,,"Trout release; bait ban, single barbless hook","(50.885278, -125.958611)"
KAKWEIKEN RIVER,,TRUE,,,Apr 1-Oct 31,Class II water,"(50.806667, -126.024167)"
KAKWEIKEN RIVER,,,,,Apr 1-June 30,Steelhead Stamp mandatory,"(50.806667, -126.024167)"
GREAT CENTRAL LAKE,,,,,Jan 1-Apr 30,"No Fishing, from the dam to fishing boundary signs approximately 50 m upstream (southwest) of the Ash Main Bridge","(49.35, -125.25)"
GREAT CENTRAL LAKE,,,,,,"Single barbless hook, no wild rainbow trout over 50 cm","(49.35, -125.25)"
HONNA RIVER,,TRUE,,,,Cutthroat trout release,"(53.248889, -132.131667)"
HONNA RIVER,,,,,Sept 1-Apr 30,Class II water,"(53.248889, -132.131667)"
HONNA RIVER,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory,"(53.248889, -132.131667)"
KEMP LAKE,,,TRUE,,,No powered boats,"(48.379167, -123.780834)"
KEOGH RIVER,,,,,," No Fishing downstream of lower fish counting fence near tidewater
","(50.6775, -127.348333)"
KEOGH RIVER,,,,,Dec 1-May 31,No Fishing in all parts,"(50.6775, -127.348333)"
KINGCOME RIVER ,TRUE,TRUE,,,Apr 1-Oct 31,Class II water,"(50.927222, -126.187222)"
KINGCOME RIVER ,,,,,Apr 1-June 30,Steelhead Stamp mandatory ,"(50.927222, -126.187222)"
KOKISH RIVER,,,,,Nov 1-Apr 30,No Fishing from boundary signs in Kokish canyon to Ida Lake,"(50.531389, -126.871389)"
KOKISH RIVER,,,,,,No Fishing from the log boom located approximately 100 m upstream of the IPP intake to signs at the tail of the canyon pool located approximately 250 m downstream,"(50.531389, -126.871389)"
KOKISH RIVER,,,,,,No Fishing between signs at the IPP tail race confluence downstream approximately 500 m to signs,"(50.531389, -126.871389)"
KOKSILAH RIVER ,,TRUE,,,Dec 1-May 31,No Fishing,"(48.750833, -123.641389)"
KOKSILAH RIVER ,,,,,July 1-Sept 30,No Fishing,"(48.750833, -123.641389)"
KOKSILAH RIVER ,,,,,,Chinook TBD,"(48.750833, -123.641389)"
KOKSILAH RIVER ,,,,,Apr 1-Mar 31,"Coho Salmon 1 per day, maximum size 35 cm","(48.750833, -123.641389)"
LAKE WESTON (“Weston Lake”),,,,,,"Trout daily quota = 1 (none over 50 cm); bait ban, single barbless hook; electric motors only","(48.784722, -123.424444)"
LANGFORD LAKE,,,TRUE,,,Smallmouth bass daily quota = 4,"(48.448056, -123.530278)"
LANGFORD LAKE,,,,,,Electric motors only; fishing platforms are available off Leigh Road and the Nixon Trail,"(48.448056, -123.530278)"
“LINK” RIVER,,,,,,See Marble River,"(52.351389, -127.685278)"
LITTLE MAIN LAKE (Quadra Island),,,,,Nov 1-Apr 30,Bait ban and single barbless hook,"(50.209722, -125.253056)"
LITTLE MAIN LAKE (Quadra Island),,,,,,electric motors only,"(50.209722, -125.253056)"
LITTLE QUALICUM RIVER ,,,,,July 15-Aug 31,No Fishing,"(49.365, -124.494722)"
LITTLE QUALICUM RIVER ,,,,,, No Fishing - All tributaries,"(49.365, -124.494722)"
LITTLE QUALICUM RIVER ,,,,,Dec 1-May 31,No Fishing from the falls in Little Qualicum Falls Provincial Park downstream to the hatchery fence,"(49.365, -124.494722)"
LITTLE QUALICUM RIVER ,,,,,,The standard 100 m closure around a fish rearing facility has been reduced to a no fishing area from the hatchery fence to signs approximately 35 m downstream,"(49.365, -124.494722)"
LITTLE QUALICUM RIVER ,,,,,Sept 1-Nov 30,Fly fishing only (where open),"(49.365, -124.494722)"
LITTLE QUALICUM RIVER ,,,,,Sept 1-Nov 30,All Salmon species Fly FIshing Only,"(49.365, -124.494722)"
LITTLE QUALICUM RIVER ,,,,,Apr 1-Mar 31,No Fishing from the hatchery fence to signs located approximately 35 meters downstream ,"(49.365, -124.494722)"
LITTLE QUALICUM RIVER ,,,,,Dec 1 to May 31,No fishing from the falls in Little Qualicum Falls Provincial Park downstream to the hatchery fence,"(49.365, -124.494722)"
LIZARD LAKE,,,TRUE,,,"Trout daily quota = 2; bait ban, single barbless hook; electric motors only","(51.073333, -123.166111)"
LIZARD POND,,,,,,"Trout daily quota = 1; artificial fly only, bait ban, single barbless hook","(47.191738, -67.051618)"
LOIS LAKE,,,TRUE,,,"Trout daily quota = 1; artificial fly only, bait ban, single barbless hook","(49.421045, -125.134992)"
LONG LAKE (Nanaimo),,,TRUE,TRUE,,Speed restriction on parts (60 km/h);     wheelchair accessible fishing platform is located in Loudon Park,"(49.211380, -124.019420)"
LOON LAKE,,,TRUE,,,Electric motors only,"(49.253142, -124.700177)"
MACKTUSH CREEK,,,,,,No Fishing,"(49.111111, -124.826389)"
MAGGIE LAKE,,,,,,"No wild rainbow trout over 50 cm; bait ban, single barbless hook","(49.010240, -125.436592)"
MAHATTA RIVER,,,,,Nov 1-Apr 30,No Fishing,"(50.466667, -127.8)"
MAIN LAKE (Quadra Island),,,,,Nov 1-Apr 30,Bait ban and single barbless hook,"(50.214837, -125.209171)"
MAIN LAKE (Quadra Island),,,,,,Engine power restriction - 7.5 kW (10 hp),"(50.214837, -125.209171)"
MAMIN RIVER,TRUE,TRUE,,,Sept 1-Apr 30,Class II water,"(53.621111, -132.310278)"
MAMIN RIVER,,,,,Dec 1-Apr 30,Steelhead Stamp mandatory,"(53.621111, -132.310278)"
MAMIN RIVER,,,,,Feb 1-Apr 30,No Fishing upstream of fishing boundary signs posted on third bridge approximately 10 km upstream of the tidal boundary,"(53.621111, -132.310278)"
MAPLE LAKE,,,TRUE,,,Electric motors only,"(49.638167, -125.016415)"
"MARBLE (“Link”) RIVER (only between
Victoria and Alice lakes)",,,,,,Fly fishing only ■,"(50.435897, -127.392884)"
MARTHA LAKE,,,TRUE,,,"Trout release; bait ban, single barbless hook","(50.030100, -125.627469)"
MATHESON LAKE ,,,TRUE,,,Electric motors only,"(48.363970, -123.601034)"
“MAXWELL LAKE” (Lake Maxwell),,,,,,Electric motors only,"(48.823078, -123.545928)"
MAYO LAKE,,,TRUE,,,Youth/Disabled Accompanied Water ,"(48.802502, -123.954180)"
MCKENZIE LAKE,,,,,,No powered boats,"(49.683889, -125.263056)"
MCNAIR LAKE,,,,,,"Trout release; bait ban, single barbless hook","(50.226311, -125.576545)"
MEGIN LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook","(49.491731, -126.074346)"
MICHAEL LAKE ,,,,,,  No powered boats,"(49.040890, -123.810356)"
MILLER CREEK,,TRUE,,,,No Fishing,"(49.985833, -125.451111)"
MOHUN CREEK     ,,TRUE,,,Dec 1-May 31,No Fishing,"(50.111944, -125.373889)"
MOHUN CREEK     ,,,,,,No Fishing from Menzies Bay logging mainline bridge crossing to Morton Lake.,"(50.111944, -125.373889)"
MISTY LAKE,,,,,,No Fishing (located in an Ecological Reserve),"(50.607222, -127.263056)"
MORTE LAKE,,,,,,Electric motors only,"(50.144444, -125.298889)"
MUCHALAT RIVER,,TRUE,,,Dec 1-May 15,No Fishing,"(49.8425, -126.093333)"
MUCHALAT RIVER,,,,,,No wild rainbow trout over 50 cm,"(49.8425, -126.093333)"
MYRA LAKE,,,,,,No Fishing,"(49.983056, -125.750833)"
NAHMINT LAKE,,,,,,"No trout over 50 cm; bait ban, single barbless hook; engine power restriction 7.5 kW (10 hp)","(49.160278, -125.022778)"
NAHMINT RIVER,,,,,Nov 1-Apr 30,No Fishing Nahmint River (upstream and downstream of the lake),"(49.062222, -124.884167)"
NAHMINT RIVER,,,,,,fly fishing only upstream of Nahmint Lake when open,"(49.062222, -124.884167)"
NAHMINT RIVER,,,,,July 15-Aug 31,No Fishing,"(49.062222, -124.884167)"
NAHMINT RIVER,,,,,,No Fishing from power line crossing at “Bore Hole” upstream to fishing boundary signs at the mouth of Boulder Creek,"(49.062222, -124.884167)"
Nahwitti River,,,,,Apr 1-Mar 31,Coho one per day,"(50.858611, -128.008056)"
NANAIMO RIVER,,,,,Sept 15-Oct 30,No Fishing from the Cedar Road Bridge upstream approximately 400 m to the white square boundary signs near the Hwy 19 bridge,"(49.138333, -123.895556)"
NANAIMO RIVER,,,,,Dec 1-May 31,No Fishing upstream of the Hwy 1 bridge■,"(49.138333, -123.895556)"
NANAIMO RIVER,,,,,,"Artificial fly only upstream of the westernmost of the two Nanaimo Lakes, known locally as “Second” Lake, including tributaries","(49.138333, -123.895556)"
NANAIMO RIVER,,,,,,Engine power restriction on parts - 7.5 kW (10 hp),"(49.138333, -123.895556)"
NANAIMO RIVER,,,,,Oct 15-Mar 31,"including tributaries, except in the area described below. 1 Coho per day, maximum size 35 cm","(49.138333, -123.895556)"
NANAIMO RIVER,,,,,Jan 1-Dec 31,"No fishing Salmon from the power line crossing at ""Bore Hole"" upstream to the fishing boundary signs at the mouth of Boulder Creek","(49.138333, -123.895556)"
NANAIMO RIVER,,,,,Sep 15-Oct 30,No fishing salmon Cedar Road Bridge upstream approx. 400 m to the fishing boundary sign located near the Hwy 19 bridge crossing,"(49.138333, -123.895556)"
NANAIMO RIVER,,,,,Nov 1-Dec 31,"Coho 2 per day, hatchery marked only, Chum 2 per day from the upstream side of the Cedar Road Bridge, upstream to the downstream side of the Highway 1 overpass.","(49.138333, -123.895556)"
NIMPKISH RIVER,,TRUE,,,Dec 1-May 15,No Fishing upstream of Davie River,"(50.566389, -126.981944)"
NITINAT LAKE,,,,,,Note: Nitinat Lake is tidal water; tidal regulations apply and a (federal) Tidal Waters Sport Fishing Licence is required,"(48.738611, -124.760833)"
NITINAT RIVER,,TRUE,,,,Exempt from July 15-Aug 31 summer closure,"(48.821389, -124.681944)"
NITINAT RIVER,,,,,,No Fishing upstream of Parker Creek,"(48.821389, -124.681944)"
NITINAT RIVER,,,,,Aug 25-Dec 31,"No Fishing between fishing boundary signs approximately 100 m upstream of and downstream of “Red Rock Pool,” approximately 2 km (by road) south of the Nitinat River Bridge","(48.821389, -124.681944)"
NITINAT RIVER,,,,,Aug 25-Oct 15,No Fishing between boundary signs approximately 50 m upstream of and downstream of the Nitinat River Bridge,"(48.821389, -124.681944)"
NITINAT RIVER,,,,,Apr 1-Mar 31,No fishing for salmon upstream of Parker Creek,"(48.821389, -124.681944)"
NITINAT RIVER,,,,,Aug 25-Sep 30,"Chinook 2 per day, only 1 over 77 cm downstream of Parker Creek, except for areas with finfish closure","(48.821389, -124.681944)"
